class_0,mmr_0,class_1,mmr_1,class_2,mmr_2,class_3,mmr_3,class_4,mmr_4,class_5,mmr_5,class_6,mmr_6,class_7,mmr_7,class_8,mmr_8,class_9,mmr_9,win,kerri_win_pct
Zagara,2320,Spirit,2100,Selendis,1320,Kerrigan,1680,Ascendant,1200,Ascendant,1200,Dark Templar,620.0,Ares,1200.0,Ares,1420.0,Stukov,1200.0,Kerrigan,0.94340104
Niadra,1580,Kerrigan,1220,Scientist,1460,Prophet,1480,Team Nova,1360,Selendis,1800,Artanis,1460.0,Selendis,1220.0,Scientist,1300.0,Ares,1120.0,Kerrigan,0.4681609
Dehaka,1820,Artanis,1220,Ascendant,1480,Selendis,1340,Dark Templar,2140,Scientist,1380,Zagara,1080.0,Artanis,2200.0,Selendis,1640.0,Artanis,1200.0,Survivor,0.27687228
Prophet,1180,Scientist,1360,Scientist,1540,Team Nova,1740,Spirit,1580,Scientist,1080,Helios,1380.0,Dehaka,2440.0,Niadra,1380.0,Scientist,1680.0,Kerrigan,0.87100106
Ascendant,1220,Niadra,1300,Ascendant,1200,Dehaka,1080,Mira,1160,Stukov,1220,Spirit,1880.0,Mira,1360.0,Selendis,1460.0,Prophet,1100.0,Kerrigan,0.34171018
Scientist,2320,Prophet,1500,Scientist,1240,Selendis,1660,Selendis,1540,Dark Templar,1540,Kerrigan,2120.0,Ascendant,1280.0,Niadra,1700.0,Ascendant,1200.0,Kerrigan,0.7611349
Ares,1820,Ascendant,1360,Nomad,1620,Nomad,1980,Swann,1740,Selendis,1740,Mira,1540.0,Scientist,1540.0,Zagara,860.0,,,Survivor,0.023623595
Zagara,1380,Ares,1720,Nomad,1300,Scientist,1400,Dark Templar,1520,Stukov,920,Kerrigan,1080.0,Spirit,1320.0,,,,,Survivor,0.45572132
Nomad,1700,Artanis,1340,Zagara,1160,Team Nova,1640,Dehaka,1240,Selendis,1480,Ascendant,1400.0,Spirit,1660.0,Selendis,1400.0,Ares,1680.0,Survivor,0.1852321
Nomad,1260,Spirit,1200,Dark Templar,1300,Stukov,1320,Ascendant,1560,Kerrigan,1640,Spirit,1540.0,Spirit,1140.0,Selendis,1340.0,Zagara,1980.0,Kerrigan,0.8948572
Dark Templar,1900,Spirit,1920,Thakras,1120,Prophet,1520,Nomad,1620,Scientist,1120,Scientist,1520.0,Scientist,1200.0,Scientist,1280.0,Zagara,1100.0,Survivor,0.11572473
Spirit,1680,Ascendant,1380,Swann,1480,Zagara,1500,Scientist,1620,Spirit,1840,Stukov,1800.0,Prophet,1080.0,Stukov,1400.0,Kerrigan,1160.0,Survivor,0.25590995
Ascendant,2400,Dehaka,1860,Zagara,2520,Scientist,1120,Ascendant,1420,Prophet,1380,Spirit,1180.0,Ascendant,1180.0,Selendis,1560.0,Stukov,1220.0,Kerrigan,0.9460204
Stukov,1920,Swann,1680,Nomad,1520,Stukov,1200,Ascendant,1760,Dehaka,1240,Prophet,1440.0,Team Nova,1760.0,Scientist,1220.0,Niadra,1280.0,Survivor,0.16106127
Selendis,1740,Ascendant,1220,Ascendant,1220,Ascendant,1180,Selendis,1340,Scientist,1340,Kerrigan,2120.0,Zagara,1200.0,Ascendant,1200.0,Ascendant,1260.0,Kerrigan,0.8420624
Spirit,2060,Ascendant,1220,Scientist,1240,Ascendant,1220,Zagara,1160,Swann,1460,Dehaka,1200.0,Ascendant,1200.0,Ascendant,1460.0,Scientist,980.0,Survivor,0.2829647
Zagara,1140,Selendis,1520,Selendis,1740,Kerrigan,1000,Nomad,2060,Spirit,1700,Swann,1720.0,Team Nova,1820.0,Ascendant,1120.0,Artanis,1500.0,Survivor,0.054090023
Scientist,1820,Scientist,1400,Ascendant,1200,Zagara,1160,Prophet,1580,Spirit,2100,Dehaka,1280.0,Artanis,1160.0,Ascendant,1160.0,Ares,1240.0,Survivor,0.21036263
Nomad,1720,Stukov,1740,Swann,1440,Stukov,1320,Dehaka,2220,Selendis,1660,Scientist,1240.0,Spirit,1540.0,Prophet,1760.0,Zagara,1580.0,Kerrigan,0.8054005
Kerrigan,1160,Artanis,1940,Prophet,1880,Dark Templar,1480,Ascendant,1560,Zagara,1120,Spirit,1020.0,Nomad,1140.0,Stukov,1200.0,Selendis,800.0,Survivor,0.19059353
Kerrigan,2080,Prophet,1160,Stukov,1200,Scientist,2300,Spirit,1780,Mira,1460,Scientist,1260.0,Zagara,1180.0,Artanis,1360.0,Selendis,1380.0,Survivor,0.56032735
Team Nova,1640,Ascendant,1060,Scientist,1200,Scientist,2280,Engineer,1140,Prophet,1480,Spirit,1160.0,Kerrigan,1440.0,Zagara,1060.0,Ascendant,1180.0,Survivor,0.27606013
Scion,1940,Kerrigan,1260,Selendis,2180,Zagara,1220,Ares,1800,Ascendant,1700,Artanis,1220.0,Stukov,1200.0,Swann,1620.0,Stukov,1640.0,Survivor,0.08044877
Scientist,2220,Team Nova,1980,Artanis,1800,Artanis,1220,Ascendant,1260,Scientist,1680,Dark Templar,1520.0,Ascendant,1200.0,Zagara,1280.0,,,Survivor,0.12910748
Prophet,1660,Scientist,1260,Dark Templar,1440,Scientist,2280,Dehaka,1500,Scientist,1180,Ares,1200.0,Zagara,1040.0,Swann,1320.0,Scientist,1260.0,Survivor,0.23515663
Team Nova,2100,Ascendant,1300,Ascendant,1140,Swann,1840,Dehaka,2160,Prophet,1280,Ascendant,1220.0,Ascendant,1200.0,Ascendant,1220.0,Zagara,1200.0,Kerrigan,0.7019542
Spirit,1560,Dark Templar,1780,Ascendant,1200,Niadra,1320,Scion,1380,Nomad,1840,Kerrigan,2180.0,Ares,1440.0,Ascendant,1160.0,Ascendant,1160.0,Kerrigan,0.7782129
Dehaka,1140,Selendis,1520,Stukov,1380,Nomad,1620,Ascendant,1740,Stukov,1620,Prophet,1480.0,Dark Templar,1200.0,Swann,1700.0,Zagara,1640.0,Survivor,0.31919134
Mira,1660,Engineer,1900,Scientist,1200,Artanis,1580,Dehaka,2180,Zagara,1260,Artanis,1300.0,Team Nova,2000.0,Ares,1800.0,Prophet,2400.0,Survivor,0.33205527
Spirit,1900,Selendis,1240,Swann,1000,Selendis,1240,Dark Templar,720,Ascendant,1140,Nomad,1500.0,Zagara,1380.0,Scientist,1200.0,,,Survivor,0.57018
Prophet,1360,Dark Templar,1560,Scientist,1680,Scientist,1380,Zagara,1220,Scientist,1440,Kerrigan,1300.0,Scientist,2060.0,Selendis,1400.0,Ascendant,1600.0,Survivor,0.16964221
Swann,1720,Dehaka,1680,Nomad,1360,Stukov,1380,Prophet,2000,Scientist,1680,Zagara,1080.0,Stukov,1460.0,Scientist,1200.0,Mira,1580.0,Kerrigan,0.28757578
Zagara,1340,Ares,1800,Swann,1660,Team Nova,2020,Kerrigan,2140,Dark Templar,2360,Ascendant,2040.0,Ascendant,2040.0,Ascendant,1200.0,Mira,1780.0,Kerrigan,0.23460196
Selendis,1380,Niadra,1420,Spirit,1180,Dark Templar,1240,Dehaka,1780,Nomad,1320,Prophet,1200.0,Mira,1460.0,Scientist,1180.0,,,Kerrigan,0.8456322
Dehaka,1420,Ascendant,1540,Scientist,1200,Nomad,1420,Prophet,1300,Ascendant,1200,Engineer,1400.0,Ascendant,1420.0,Niadra,1160.0,Stukov,1500.0,Kerrigan,0.43221244
Artanis,1300,Kerrigan,1440,Mira,2180,Ascendant,1560,Artanis,1880,Swann,1900,Helios,1560.0,Scientist,1740.0,Zagara,1560.0,Ascendant,1500.0,Survivor,0.22340201
Mira,1640,Team Nova,1760,Stukov,1220,Ares,1620,Ares,1100,Nomad,1320,Prophet,1580.0,Zagara,1100.0,Dehaka,2280.0,,,Kerrigan,0.76021236
Helios,1420,Niadra,1120,Prophet,1620,Ascendant,1180,Kerrigan,1780,Ares,1200,Spirit,1840.0,Team Nova,1520.0,Helios,1420.0,Ascendant,1200.0,Kerrigan,0.5153404
Dehaka,1640,Engineer,1040,Zagara,1200,Ascendant,1200,Prophet,2040,Ascendant,1440,Stukov,2120.0,Dark Templar,2100.0,Scientist,1440.0,,,Kerrigan,0.29640588
Spirit,1740,Spirit,1380,Team Nova,1800,Prophet,1560,Ascendant,1220,Spirit,1840,Dark Templar,1480.0,Niadra,1080.0,Ascendant,1720.0,Dehaka,1520.0,Survivor,0.17787196
Kerrigan,2240,Ascendant,1240,Selendis,1240,Artanis,1500,Scientist,1460,Artanis,1500,Dark Templar,1620.0,Stukov,1120.0,Nomad,1740.0,Niadra,1240.0,Kerrigan,0.79985833
Dark Templar,1520,Prophet,1580,Selendis,1240,Dehaka,2120,Niadra,1300,Selendis,1860,Helios,1800.0,Ares,1480.0,Stukov,1880.0,Team Nova,1840.0,Survivor,0.5052664
Kerrigan,2200,Scientist,1420,Scientist,1540,Dark Templar,1500,Spirit,1580,Mira,1300,Ascendant,1560.0,Stukov,1200.0,,,,,Kerrigan,0.9699542
Dehaka,1340,Nomad,1640,Ares,1300,Niadra,1940,Prophet,2360,Scientist,1320,Ares,1200.0,Scientist,1220.0,Helios,1740.0,Ascendant,1200.0,Survivor,0.5739435
Swann,1020,Dark Templar,700,Helios,900,Prophet,1300,Ascendant,1200,Ascendant,1320,Ascendant,1500.0,Scientist,1160.0,Dehaka,1040.0,,,Survivor,0.4005972
Dehaka,2480,Spirit,1200,Nomad,1660,Prophet,780,Scientist,1460,Niadra,1140,Scientist,960.0,Artanis,1380.0,Dark Templar,1200.0,Ascendant,1180.0,Kerrigan,0.92644006
Selendis,1440,Ascendant,620,Prophet,1520,Ascendant,1180,Scientist,1260,Nomad,1480,Scientist,1500.0,Dehaka,1160.0,Selendis,1200.0,Niadra,1340.0,Survivor,0.46766254
Zagara,1460,Scientist,1280,Prophet,1480,Mira,1520,Swann,1580,Scientist,2040,Thakras,2580.0,Ascendant,1500.0,Nomad,1960.0,,,Kerrigan,0.8433537
Swann,1300,Spirit,1680,Dehaka,1400,Spirit,1440,Scientist,900,Scientist,1860,Prophet,1820.0,Spirit,1200.0,Ascendant,1200.0,,,Survivor,0.42677477
Zagara,1120,Thakras,2540,Ascendant,1200,Engineer,1200,Selendis,1320,Stukov,1200,Scientist,1020.0,Prophet,2060.0,Selendis,1320.0,,,Kerrigan,0.9024338
Spirit,1420,Helios,1560,Spirit,1540,Selendis,1660,Zagara,1200,Stukov,1500,Kerrigan,1560.0,Scientist,1640.0,Dark Templar,1320.0,Ascendant,1160.0,Survivor,0.38851264
Kerrigan,1480,Engineer,1380,Artanis,1140,Artanis,1220,Ascendant,1320,Stukov,2000,Stukov,1660.0,Niadra,1100.0,,,,,Kerrigan,0.38864073
Nomad,1380,Dark Templar,1420,Zagara,1440,Team Nova,1280,Scientist,1200,Scientist,1160,Scientist,1280.0,Ascendant,1140.0,Scientist,1200.0,,,Survivor,0.71692437
Zagara,2140,Artanis,1740,Ares,1740,Stukov,2080,Kerrigan,1700,Engineer,1640,Ascendant,1360.0,Prophet,1220.0,Selendis,1120.0,Stukov,600.0,Kerrigan,0.83763343
Prophet,2220,Niadra,1780,Spirit,1420,Dehaka,1220,Spirit,1440,Spirit,1440,Spirit,1780.0,Nomad,1400.0,Spirit,1640.0,Dark Templar,1500.0,Kerrigan,0.3146978
Zagara,1340,Dehaka,1480,Nomad,1660,Stukov,1680,Spirit,1560,Prophet,1780,Ares,1220.0,Swann,1460.0,Artanis,1200.0,Spirit,1320.0,Survivor,0.39462274
Artanis,1460,Ares,1200,Spirit,1580,Dehaka,1840,Mira,1440,Dark Templar,1460,Spirit,1740.0,Stukov,1460.0,Zagara,1180.0,Artanis,1160.0,Survivor,0.55018806
Team Nova,1260,Ares,2140,Helios,1280,Ascendant,1460,Swann,1100,Niadra,1340,Ascendant,1680.0,Dehaka,1080.0,,,,,Survivor,0.27194658
Nomad,1660,Selendis,1380,Ascendant,1240,Team Nova,1380,Prophet,1560,Zagara,1260,Spirit,1580.0,Mira,1440.0,Dehaka,1140.0,Spirit,1440.0,Kerrigan,0.24773057
Kerrigan,2580,Artanis,1220,Stukov,1340,Swann,1720,Spirit,2080,Ascendant,1780,Spirit,2440.0,Zagara,1400.0,Scion,2100.0,,,Kerrigan,0.66759074
Prophet,1660,Scientist,1240,Dehaka,1160,Team Nova,1920,Zagara,1080,Scientist,1680,Selendis,1080.0,Scientist,1340.0,Scientist,1200.0,Ares,1200.0,Survivor,0.19575316
Stukov,1100,Spirit,2160,Selendis,2580,Ascendant,1220,Spirit,1740,Prophet,1640,Spirit,980.0,Zagara,1180.0,Dehaka,1600.0,Spirit,1760.0,Survivor,0.12920006
Stukov,1180,Selendis,1380,Kerrigan,1200,Scientist,1200,Zagara,1740,Ares,1200,Ares,1300.0,Scientist,1360.0,Spirit,1180.0,,,Kerrigan,0.8006889
Dark Templar,1620,Nomad,1180,Selendis,1300,Dehaka,1340,Ascendant,860,Zagara,1420,Ares,1200.0,Ascendant,1200.0,Ascendant,1160.0,,,Kerrigan,0.68608403
Scientist,1940,Stukov,1500,Ascendant,1260,Stukov,1900,Artanis,1520,Scientist,1540,Dehaka,1580.0,Zagara,1540.0,Stukov,1500.0,Team Nova,1560.0,Kerrigan,0.3999323
Ascendant,1160,Spirit,1440,Swann,1620,Prophet,1440,Dark Templar,1800,Spirit,1500,Scientist,1600.0,Kerrigan,1200.0,Scientist,1240.0,Niadra,1580.0,Survivor,0.36578986
Prophet,1940,Zagara,2420,Dehaka,2400,Team Nova,1640,Scientist,1080,Nomad,1280,Scientist,1500.0,Scientist,1560.0,Dark Templar,1520.0,Ascendant,1780.0,Kerrigan,0.9652263
Prophet,1660,Zagara,1160,Mira,1520,Kerrigan,1200,Nomad,1700,Stukov,1500,Scientist,1280.0,Dark Templar,1640.0,Swann,1860.0,Ascendant,2580.0,Survivor,0.045674425
Spirit,2460,Engineer,1560,Spirit,1500,Artanis,2580,Mira,1880,Zagara,1340,Dehaka,1180.0,Ares,1300.0,Scientist,1140.0,Ascendant,1200.0,Survivor,0.06717064
Ares,1300,Dark Templar,1620,Team Nova,1520,Ares,1460,Selendis,2040,Selendis,1180,Dehaka,1620.0,Artanis,1180.0,Zagara,1420.0,Prophet,1360.0,Kerrigan,0.47847354
Zagara,1460,Dark Templar,1700,Scientist,1400,Stukov,2020,Scientist,1520,Kerrigan,1040,Mira,1240.0,Scientist,1500.0,Ares,1200.0,Scientist,1380.0,Survivor,0.20614289
Scientist,1640,Ascendant,1480,Scientist,1220,Team Nova,1840,Scientist,2500,Kerrigan,1320,Ares,1200.0,Stukov,1180.0,Stukov,1200.0,,,Survivor,0.18445416
Niadra,1420,Kerrigan,1160,Ares,1200,Scientist,1480,Spirit,1140,Ascendant,1160,Stukov,1340.0,Scientist,2260.0,Ascendant,1180.0,,,Survivor,0.36911947
Scientist,1460,Thakras,1980,Helios,1500,Stukov,1640,Team Nova,1320,Mira,2140,Mira,1000.0,Ascendant,1200.0,Zagara,2220.0,Artanis,1500.0,Kerrigan,0.9092112
Spirit,1360,Kerrigan,1180,Ascendant,1160,Spirit,1180,Prophet,1200,Zagara,1200,Spirit,1180.0,Spirit,2060.0,Ascendant,1360.0,Nomad,1180.0,Survivor,0.3159643
Zagara,1200,Stukov,1080,Spirit,1480,Spirit,1600,Artanis,1240,Ascendant,1180,Ascendant,1200.0,Selendis,1580.0,Scientist,1200.0,Kerrigan,1260.0,Survivor,0.43705532
Swann,900,Prophet,1400,Kerrigan,1380,Selendis,1160,Niadra,2320,Scientist,1180,Spirit,1240.0,Ascendant,1200.0,Artanis,1480.0,,,Kerrigan,0.95170027
Engineer,1460,Selendis,2340,Spirit,2220,Scientist,1200,Zagara,1200,Selendis,1640,Mira,1720.0,Prophet,1420.0,Dehaka,1300.0,,,Survivor,0.08571886
Nomad,1280,Stukov,1160,Artanis,1860,Nomad,1420,Niadra,1340,Prophet,1340,Dark Templar,1440.0,Stukov,1600.0,Stukov,1760.0,Dehaka,1820.0,Survivor,0.5671596
Ascendant,1440,Spirit,1320,Ascendant,1200,Ascendant,1480,Spirit,1160,Zagara,1120,Mira,1380.0,Ascendant,1420.0,Dehaka,1200.0,Scientist,2020.0,Kerrigan,0.20101789
Scientist,2280,Dark Templar,2000,Kerrigan,2220,Ascendant,1200,Prophet,2320,Swann,2260,Ascendant,1600.0,Nomad,1980.0,Helios,1820.0,Zagara,1220.0,Survivor,0.17782179
Kerrigan,1120,Spirit,1900,Selendis,1300,Dark Templar,1700,Ascendant,1120,Mira,1400,Nomad,1720.0,Prophet,2260.0,Niadra,1820.0,Selendis,1500.0,Kerrigan,0.24367185
Dehaka,1000,Scientist,1200,Scientist,1240,Scientist,1480,Scientist,1420,Zagara,1540,Stukov,1500.0,Ares,1200.0,Artanis,1160.0,,,Kerrigan,0.5521165
Dark Templar,2340,Zagara,2020,Nomad,1940,Scientist,1480,Dehaka,1580,Spirit,2020,Artanis,1880.0,Stukov,1860.0,Prophet,1240.0,Scion,2580.0,Survivor,0.1765012
Selendis,1360,Zagara,1220,Mira,2260,Ascendant,1740,Prophet,1480,Helios,1800,Ascendant,1140.0,Team Nova,1580.0,Dehaka,1160.0,Ares,1160.0,Survivor,0.10357069
Dark Templar,1720,Niadra,1140,Spirit,1160,Prophet,1240,Selendis,1480,Kerrigan,1200,Spirit,1300.0,Selendis,1340.0,Scientist,1180.0,,,Survivor,0.3413705
Dehaka,2580,Ares,1020,Dark Templar,1640,Prophet,1080,Scientist,980,Spirit,1220,Ares,1160.0,Spirit,1860.0,Team Nova,1740.0,Zagara,1740.0,Kerrigan,0.9703847
Scientist,2440,Selendis,1420,Thakras,1220,Dark Templar,1460,Spirit,2120,Zagara,1080,Engineer,1080.0,Spirit,1460.0,Prophet,1420.0,Selendis,1340.0,Survivor,0.0643596
Scientist,2060,Dehaka,2580,Zagara,1600,Artanis,2300,Ascendant,1380,Scientist,1840,Selendis,1560.0,Prophet,1620.0,Ascendant,1220.0,Mira,1880.0,Kerrigan,0.7322394
Selendis,1480,Dehaka,1300,Ascendant,1420,Artanis,1480,Prophet,1880,Scientist,1140,Scientist,1060.0,Zagara,1500.0,Artanis,1500.0,Ares,1300.0,Kerrigan,0.4394546
Prophet,1780,Helios,1540,Niadra,1600,Mira,1540,Spirit,1660,Team Nova,1760,Selendis,1720.0,Kerrigan,1420.0,Nomad,940.0,Selendis,1720.0,Survivor,0.36068177
Spirit,1720,Zagara,1160,Selendis,1000,Selendis,1700,Prophet,2180,Scientist,1060,Dark Templar,1560.0,Stukov,1680.0,Spirit,1740.0,Kerrigan,2340.0,Kerrigan,0.5389289
Stukov,2040,Stukov,1820,Ascendant,1200,Scientist,1200,Swann,1280,Kerrigan,1100,Selendis,1380.0,Niadra,2580.0,Ascendant,1740.0,Prophet,1360.0,Kerrigan,0.8041557
Thakras,1340,Artanis,1840,Scion,2160,Scientist,1200,Artanis,1580,Stukov,1500,Dark Templar,1680.0,Zagara,1560.0,Spirit,2580.0,Prophet,1460.0,Kerrigan,0.10925676
Artanis,2040,Scientist,1640,Dehaka,1260,Spirit,1800,Stukov,1280,Niadra,980,Ascendant,1160.0,Prophet,2580.0,Scientist,1440.0,Ares,1540.0,Survivor,0.040045746
Helios,1520,Team Nova,1880,Zagara,1600,Ascendant,1740,Engineer,1360,Scientist,1740,Selendis,1880.0,Thakras,1040.0,Scientist,1200.0,Stukov,1220.0,Survivor,0.21350652
Prophet,1800,Spirit,1760,Kerrigan,1460,Ascendant,1280,Ascendant,1200,Team Nova,1360,Ascendant,1200.0,Ares,1840.0,Zagara,1160.0,Ascendant,1240.0,Survivor,0.33202308
Ascendant,1520,Scientist,1120,Dehaka,1440,Nomad,1400,Stukov,1900,Scientist,1160,Selendis,1420.0,Dark Templar,1480.0,Scientist,1240.0,Niadra,1440.0,Survivor,0.4952149
Zagara,2280,Ares,1820,Ares,2180,Dark Templar,1980,Dehaka,1840,Prophet,1600,Ascendant,1440.0,Ascendant,1200.0,Mira,1120.0,,,Kerrigan,0.8580899
Zagara,2260,Selendis,1180,Ascendant,1500,Dehaka,1340,Nomad,1160,Ares,1200,Selendis,1340.0,Ascendant,1800.0,Ascendant,1740.0,Prophet,1780.0,Kerrigan,0.8163252
Dark Templar,600,Team Nova,1440,Niadra,1140,Dehaka,1180,Ascendant,1200,Stukov,2020,Ascendant,1440.0,Selendis,1480.0,Scientist,1360.0,Spirit,1640.0,Kerrigan,0.17608011
Mira,1340,Niadra,1160,Prophet,1420,Ascendant,1200,Stukov,1460,Dehaka,1340,Mira,1340.0,Ascendant,1520.0,Mira,1640.0,Ascendant,1200.0,Kerrigan,0.35117817
Zagara,2560,Team Nova,1820,Stukov,2180,Engineer,1180,Swann,1360,Engineer,1740,Ascendant,1180.0,Dehaka,1900.0,Prophet,1200.0,Scientist,1220.0,Kerrigan,0.95150113
Artanis,1580,Ares,1500,Selendis,1140,Dehaka,1200,Ascendant,1180,Dark Templar,840,Ascendant,1160.0,Zagara,1360.0,Stukov,1860.0,Mira,1560.0,Survivor,0.3745654
Spirit,1500,Zagara,1180,Scientist,1680,Stukov,1280,Helios,1940,Dehaka,1280,Dark Templar,1520.0,Swann,1400.0,Spirit,1140.0,Scientist,1520.0,Survivor,0.19174007
Ares,1160,Mira,1460,Nomad,1460,Engineer,1280,Prophet,1620,Dark Templar,1280,Dehaka,920.0,Zagara,1240.0,Selendis,1640.0,Ares,1220.0,Survivor,0.20027038
Prophet,1620,Team Nova,1320,Zagara,1180,Selendis,1840,Engineer,1260,Thakras,1440,Artanis,1200.0,Spirit,1340.0,Spirit,1620.0,Ascendant,1240.0,Survivor,0.36294308
Niadra,1200,Helios,1500,Nomad,2060,Selendis,1480,Scientist,1460,Kerrigan,1760,Spirit,1060.0,Scientist,880.0,Dark Templar,1500.0,Selendis,1320.0,Kerrigan,0.48549342
Niadra,1300,Prophet,1840,Stukov,1860,Ascendant,1780,Artanis,1540,Ascendant,1460,Scientist,1140.0,Team Nova,1820.0,Kerrigan,1480.0,Ares,1180.0,Survivor,0.23487067
Niadra,2420,Kerrigan,1580,Scientist,1520,Prophet,2200,Team Nova,1780,Dark Templar,1580,Ares,2000.0,Stukov,1180.0,Artanis,1240.0,Ascendant,1180.0,Kerrigan,0.8017921
Selendis,1880,Prophet,1520,Ascendant,1220,Ascendant,1220,Dehaka,1200,Ares,1660,Ascendant,1780.0,Stukov,1720.0,Scientist,1280.0,,,Survivor,0.16191682
Swann,1620,Ascendant,1880,Spirit,2140,Prophet,1460,Spirit,1760,Selendis,2120,Niadra,1120.0,Kerrigan,1480.0,Scientist,1260.0,Scientist,1200.0,Survivor,0.106762715
Ascendant,1300,Nomad,2200,Artanis,1720,Dark Templar,1640,Dehaka,1220,Helios,1440,Ascendant,1200.0,Ascendant,1200.0,Spirit,2500.0,Niadra,1200.0,Survivor,0.06706819
Nomad,1660,Dark Templar,1220,Dehaka,1320,Zagara,1320,Scientist,2100,Stukov,720,Ascendant,1520.0,Stukov,1160.0,Artanis,2040.0,Ares,1360.0,Survivor,0.23627853
Dehaka,1640,Ascendant,1120,Ascendant,1320,Swann,1340,Helios,1580,Zagara,980,Team Nova,1300.0,Artanis,1420.0,Engineer,1320.0,Scientist,1260.0,Kerrigan,0.50883627
Selendis,1560,Prophet,1420,Selendis,1220,Ares,1280,Artanis,2180,Zagara,1160,Ascendant,1200.0,Selendis,1460.0,Dark Templar,1680.0,Dehaka,1120.0,Survivor,0.12504596
Team Nova,1380,Selendis,1160,Engineer,1520,Ascendant,1340,Dehaka,1640,Ascendant,1300,Spirit,1120.0,Dark Templar,1400.0,Ascendant,1300.0,Niadra,1100.0,Survivor,0.580919
Niadra,1240,Helios,1380,Swann,1140,Ascendant,1560,Spirit,1120,Scientist,1160,Team Nova,1920.0,Ascendant,1200.0,Ascendant,1200.0,Kerrigan,1320.0,Kerrigan,0.41477272
Stukov,1540,Nomad,1280,Stukov,1120,Thakras,1840,Zagara,1440,Ares,1120,Team Nova,1400.0,Helios,1280.0,Selendis,1340.0,Spirit,1320.0,Kerrigan,0.82543135
Prophet,2000,Dark Templar,1780,Selendis,1140,Scion,2120,Scientist,1880,Scientist,1960,Zagara,1200.0,Ares,1560.0,Thakras,1260.0,Selendis,1460.0,Survivor,0.060349524
Kerrigan,2240,Zagara,2280,Ascendant,1240,Team Nova,1640,Ascendant,1380,Nomad,1660,Ares,1060.0,Selendis,1400.0,Ares,1380.0,,,Kerrigan,0.9785888
Artanis,2060,Swann,1600,Selendis,1220,Ascendant,1240,Ascendant,1220,Prophet,1280,Dehaka,1040.0,Scientist,1900.0,Spirit,1460.0,Niadra,1460.0,Survivor,0.21049014
Dehaka,2180,Selendis,1700,Niadra,1240,Ares,1200,Ares,1460,Scientist,1200,Mira,1260.0,Scientist,1180.0,Ascendant,1220.0,,,Kerrigan,0.8783649
Ares,1180,Nomad,1600,Zagara,1660,Team Nova,1300,Scientist,1540,Helios,1420,Selendis,1540.0,Artanis,2020.0,Dark Templar,1480.0,Dehaka,1660.0,Kerrigan,0.5712511
Spirit,2400,Spirit,1900,Ascendant,2420,Scientist,1780,Prophet,1240,Engineer,1400,Dehaka,1260.0,Scientist,1400.0,Ascendant,1200.0,Zagara,1800.0,Survivor,0.1797938
Helios,1820,Prophet,1160,Ares,1420,Zagara,1180,Dehaka,1440,Ascendant,1200,Artanis,1240.0,Mira,1960.0,Artanis,1460.0,Dark Templar,1660.0,Kerrigan,0.26989564
Scientist,2380,Dark Templar,2320,Prophet,2060,Kerrigan,1180,Scion,1620,Niadra,1240,Stukov,1200.0,Engineer,1320.0,Mira,1540.0,Stukov,1320.0,Survivor,0.05811665
Thakras,1220,Scientist,1360,Stukov,1600,Prophet,2580,Nomad,1840,Team Nova,1980,Ascendant,1860.0,Zagara,1500.0,Mira,1480.0,Dark Templar,1880.0,Survivor,0.05777853
Prophet,2340,Stukov,1660,Scientist,1480,Dehaka,1040,Scientist,1620,Artanis,1240,Zagara,1240.0,Selendis,1520.0,Ascendant,1200.0,Scientist,1640.0,Survivor,0.07570618
Mira,1640,Kerrigan,1700,Scientist,1380,Niadra,1320,Nomad,1120,Spirit,1240,Selendis,1480.0,Scientist,1180.0,Ascendant,860.0,Scientist,980.0,Survivor,0.7731725
Zagara,1200,Stukov,1780,Team Nova,1420,Selendis,1360,Scientist,1240,Scientist,1200,Dark Templar,820.0,Ascendant,1300.0,Prophet,1740.0,Dehaka,1080.0,Survivor,0.22745955
Artanis,2280,Prophet,2220,Mira,1600,Thakras,2280,Niadra,1180,Team Nova,1620,Dark Templar,1480.0,Selendis,1200.0,,,,,Kerrigan,0.53390026
Kerrigan,1300,Stukov,920,Mira,1180,Dark Templar,1380,Zagara,1320,Ares,1520,Ascendant,1320.0,Team Nova,1360.0,Nomad,1280.0,Selendis,1440.0,Kerrigan,0.5045201
Mira,1300,Scientist,1920,Zagara,1480,Scientist,1140,Selendis,1140,Scientist,1440,Ascendant,1200.0,Selendis,1700.0,Kerrigan,1440.0,,,Kerrigan,0.5751723
Stukov,1640,Zagara,1280,Team Nova,1520,Dark Templar,1240,Scientist,1320,Spirit,1300,Scientist,1340.0,Mira,1520.0,Selendis,1100.0,Dehaka,2140.0,Kerrigan,0.82520556
Scientist,1720,Ascendant,1200,Zagara,1340,Selendis,980,Swann,1440,Ascendant,1180,Ascendant,1280.0,Spirit,1640.0,Kerrigan,2440.0,Stukov,1660.0,Kerrigan,0.90726644
Ascendant,1160,Dark Templar,1240,Nomad,1420,Ares,1160,Ascendant,1340,Stukov,1280,Stukov,1200.0,Ascendant,1200.0,Zagara,1060.0,Dehaka,1100.0,Kerrigan,0.37357736
Scientist,1200,Ascendant,1280,Ares,1200,Prophet,880,Ares,1360,Dark Templar,1520,Engineer,1500.0,Thakras,1180.0,Zagara,1260.0,Ares,1160.0,Kerrigan,0.45681763
